ID,Dex,Time,Taker,Taker Address,Taker Amount,Taker Token,Maker,Maker Address,Maker Amount,Maker Token,Tx,Create TS
12,SushiSwap,2h ago,🤓 Flash Boy: 0xd21,0xd21f16239ea1b99008f8e9f425c54ae7927d8151,.1229,WETH,🏦 🤖 Sushiswap Pool: LINK-WETH,0x514910771af9ca656af840dff83e8264ecf986ca,13,LINK,,2021-06-25 04:16:25
13,SushiSwap,2h ago,🤓 Flash Boy: 0xd21,0xd21f16239ea1b99008f8e9f425c54ae7927d8151,1.54,WETH,🏦 🤖 Sushiswap Pool: LINK-WETH,0x514910771af9ca656af840dff83e8264ecf986ca,161,LINK,,2021-06-25 04:16:25
14,SushiSwap,3h ago,🤓 Smart LP: 0x79b,0x79be42c4d27f9ff82df6b7d30dbe5c5c81cbc143,11,WETH,🏦 🤖 Sushiswap Pool: SUSHI-WETH,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,"3,050",SUSHI,,2021-06-25 04:16:25
15,Uniswap,3h ago,🤓 Smart LP: 0x51c,0x51ca31fc7efb55db794378695ef3506aba0883d2,.4651,WETH,🏦 🤖 Uniswap v2 Pool: WETH-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,913,USDT,,2021-06-25 04:16:25
16,SushiSwap,3h ago,🤓 andreasengel.eth,0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,.0437,WETH,🏦 🤖 Convex Finance: CVX/ETH SLP,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,27,CVX,,2021-06-25 04:16:25
17,Curve,3h ago,🤓 sifu.eth,0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77,264P,USDC,🏦 🤖 Curve.fi: UST Swap,0x6b175474e89094c44da98b954eedeac495271d0f,"263,899",DAI,,2021-06-25 04:16:25
18,Uniswap,3h ago,🤓 jedric.eth*,0x6981378e696b0dd0e585d4d519c98b8a2c5bc020,.0573,WBTC,🏦 🤖 Uniswap v3 Pool: WBTC-USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,"1,978",USDT,,2021-06-25 04:16:25
19,SushiSwap,3h ago,🤓 andreasengel.eth,0x781fea3353d6efbbabc9fac0b4725eff3c77dba7,.2252,WETH,🏦 🤖 Convex Finance: CVX/ETH SLP,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,138,CVX,,2021-06-25 04:16:25
20,Uniswap,4h ago,🤓 Flash Boy: 0x41b,0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,1.33,WETH,🏦 🤖 Uniswap v3 Pool: USDC-WETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"2,675",USDC,,2021-06-25 04:16:25
21,Curve,4h ago,🤓 Flash Boy: 0x157,0x157351b48323d808b1340134283edf06d889be80,45,WBTC,🏦 🤖 Curve.fi: tBTC Swap,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,440B,renBTC,,2021-06-25 04:16:25
22,Curve,4h ago,🤓 degenspartan.eth,0x4e60be84870fe6ae350b563a121042396abe1eaf,"25,000",USDT,🏦 🤖 Curve.fi: sUSD v2 Swap,0x57ab1ec28d129707052df4df418d58a2d46d5f51,"24,658",sUSD,,2021-06-25 04:16:25
23,Uniswap,4h ago,🤓 Flash Boy: 0xd6d,0xd6d7ea4833f22edbed3dbd3d71adf3cdd8e36a01,"1,408",DAI,🏦 🤖 Uniswap v3 Pool: DAI-USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"1,408",USDC,,2021-06-25 04:16:25
24,SushiSwap,4h ago,🤓 Smart LP: 0x20e,0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,8.84,ALCX,🏦 🤖 Sushiswap Pool: WETH-ALCX,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.39,WETH,,2021-06-25 04:16:25
25,Uniswap,4h ago,🤓 Smart LP: 0x20e,0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,5.51,ALCX,🏦 🤖 Uniswap v3 Pool: WETH-ALCX,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,.8733,WETH,,2021-06-25 04:16:25
26,Uniswap,4h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,7.97,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"13,099",MATIC,,2021-06-25 04:16:25
27,Uniswap,4h ago,🤓 Flash Boy: 0x530,0x530defd6c816809f54f6cfa6fe873646f6ecf930,"3,806",USDC,🏦 🤖 Uniswap v2 Pool: DAI-USDC,0x6b175474e89094c44da98b954eedeac495271d0f,"3,790",DAI,,2021-06-25 04:16:25
0,Uniswap,59m ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,14,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"22,929",MATIC,,2021-06-25 04:47:20
1,Uniswap,5h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,7.97,WETH,🏦 🤖 Uniswap v3 Pool: MATIC-WETH,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,"13,099",MATIC,,2021-06-25 04:47:20
2,SushiSwap,6h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"1,950",PERP,🏦 🤖 Sushiswap Pool: PERP-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5.21,WETH,,2021-06-25 04:47:20
3,Uniswap,6h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,229,ROOK,🏦 🤖 Uniswap v2 Pool: WETH-ROOK,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16,WETH,,2021-06-25 04:47:20
4,SushiSwap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,"1,950",PERP,🏦 🤖 Sushiswap Pool: PERP-WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5.3,WETH,,2021-06-25 04:47:20
5,Uniswap,7h ago,🤓 Alameda: Elite Dex Trader,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,6.1,WETH,🏦 🤖 Uniswap v2 Pool: WETH-ROOK,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,92,ROOK,,2021-06-25 04:47:20
